Timestamp,Value,Pod
2023-07-11 13:00:54,3969.043207,f6g45
2023-07-11 13:01:54,3969.390049,f6g45
2023-07-11 13:02:54,3969.919567,f6g45
2023-07-11 13:03:54,3970.544435,f6g45
2023-07-11 13:04:54,3971.05654,f6g45
2023-07-11 13:05:54,3971.62462,f6g45
2023-07-11 13:06:54,3972.197686,f6g45
2023-07-11 13:07:54,3972.823755,f6g45
2023-07-11 13:08:54,3973.485472,f6g45
2023-07-11 13:09:54,3973.987662,f6g45
2023-07-11 13:10:54,3974.683261,f6g45
2023-07-11 13:11:54,3975.528057,f6g45
2023-07-11 13:12:54,3976.15538,f6g45
2023-07-11 13:13:54,3976.868729,f6g45
2023-07-11 13:14:54,3977.69852,f6g45
2023-07-11 13:15:54,3978.442874,f6g45
2023-07-11 13:16:54,3979.282368,f6g45
